ID,Rank,constraints_task_id
971871895,2,1
400305444,1,1
990449974,3,2
132222087,1,2
657197198,2,3
892569986,3,1
774150495,4,3
415624774,1,3
425837143,3,2
661444462,3,2
793906195,1,1
259698257,1,3
929046453,4,2
589912123,1,1
250508825,1,4
386238150,1,2
458791033,2,2
383298315,1,4
994380998,4,2
589166624,4,2
554838089,3,4
449793298,1,4
639179002,2,1
704457428,3,1
996748324,1,2
519367629,1,1
161024986,2,2
970379913,2,3
578219386,4,3
582106440,3,3
624776570,1,1
181577649,2,1
686903443,1,2
130386097,4,2
855496300,4,4
