ID,Rank,constraints_task_id
433000707,1,"11,27,22,10,19,9,24,4,28,13,1,7,21,3,25,14,2,5,17,26,18,20,6,23,0,12,8,15,16"
777344636,1,"15,26,0,27,6,2,11,3,23,18,4,8,9,28,19,20,16,21,25,14,24,12,5,13,10,17,7,22,1"
960942656,1,"26,1,17,20,16,10,24,5,21,11,2,4,7,18,15,0,14,12,3,22,27,23,9,6,28,19,8,13,25"
808605321,1,"0,18,21,11,1,10,8,27,4,15,12,17,26,2,20,5,3,22,6,19,7,25,13,14,24,9,28,23,16"
512244165,1,"27,18,19,4,13,1,5,20,6,3,10,16,21,7,9,24,22,14,25,12,0,15,28,2,11,17,26,8,23"
864389267,1,"13,16,26,8,25,19,0,10,4,24,12,7,5,9,28,2,22,14,11,18,6,15,27,17,3,20,21,1,23"
586175729,1,"18,3,0,1,17,10,2,25,19,24,23,13,9,8,20,11,26,16,7,21,5,22,12,15,27,4,28,6,14"
173576812,1,"27,23,11,3,8,4,19,7,20,22,16,5,2,17,26,13,6,10,14,28,0,9,1,12,21,15,25,18,24"
146892428,1,"22,24,20,5,10,15,13,4,6,11,23,26,18,21,19,25,27,0,7,17,2,28,12,9,1,3,16,14,8"
186407549,1,"28,24,27,7,5,2,23,25,18,10,14,15,26,13,9,0,4,17,22,21,12,8,16,20,3,19,1,11,6"
430515745,1,"6,4,0,9,5,18,19,3,22,11,28,23,24,26,27,25,17,12,2,10,21,16,20,7,15,8,1,13,14"
441445837,1,"19,14,16,4,0,6,11,15,28,23,22,25,12,8,9,5,24,2,20,26,7,1,27,18,3,17,13,10,21"
125748728,1,"11,4,13,25,12,16,0,20,18,27,2,7,23,22,24,10,28,5,6,8,17,15,14,3,9,1,26,19,21"
871021985,1,"0,19,28,15,8,27,24,1,2,3,20,21,26,7,4,18,12,22,10,6,14,23,17,25,11,16,13,5,9"
191625165,1,"19,8,13,16,21,4,12,1,3,25,0,2,18,24,6,14,11,22,10,20,15,28,7,26,23,27,9,17,5"
733485772,1,"7,21,3,1,13,18,26,9,20,8,15,22,16,2,17,6,10,4,19,28,25,14,11,0,23,12,24,5,27"
664994666,1,"20,2,1,4,25,28,12,10,18,11,23,19,7,5,6,17,0,8,27,26,15,16,21,24,3,13,14,22,9"
544288955,1,"19,8,15,5,6,25,11,0,12,1,18,13,22,20,10,27,9,24,26,17,28,4,16,2,3,7,21,14,23"
317468757,1,"15,19,16,2,18,17,8,6,4,0,22,13,20,26,5,1,25,3,12,11,21,14,27,9,7,23,28,24,10"
100632802,1,"17,0,4,12,16,20,1,26,28,23,10,27,8,25,7,5,24,13,18,6,21,9,3,14,19,11,15,2,22"
497414507,1,"23,4,10,20,2,0,26,18,9,12,28,3,1,8,25,22,27,17,11,19,14,15,7,13,5,24,21,6,16"
877447349,1,"24,3,0,18,26,27,19,4,15,2,23,12,20,7,25,9,14,10,1,5,8,16,22,6,17,28,13,21,11"
225506452,1,"15,11,9,8,21,14,26,12,0,4,5,10,13,23,6,27,16,2,25,3,1,19,20,18,17,28,24,7,22"
373968414,1,"11,13,20,0,17,6,24,5,26,4,22,27,3,19,18,7,14,12,28,16,8,21,1,9,25,10,15,23,2"
745895984,1,"8,13,3,0,4,20,16,1,23,5,26,11,27,15,18,22,7,9,14,21,24,6,2,12,10,25,28,19,17"
505397292,1,"13,9,11,21,25,24,10,2,17,27,8,12,6,14,28,23,1,7,19,3,26,18,5,0,16,15,22,4,20"
108411522,1,"18,22,14,8,1,17,2,15,9,26,4,13,25,3,7,16,0,19,20,5,12,23,10,24,11,28,27,21,6"
578869984,1,"28,7,11,10,14,16,21,9,0,4,27,5,3,23,22,6,20,2,1,12,13,25,24,26,15,19,18,17,8"
151208758,1,"19,4,0,17,1,12,13,14,28,18,7,2,8,5,15,16,23,21,26,6,9,27,20,10,22,11,25,3,24"
